#name longitude/X latitude/Y height/Z yaw pitch roll
G0012225.JPG 41.5404396 -70.9416293 3.82 259.4 -10.55 -0.25
G0012226.JPG 41.5404304 -70.9416873 3.63 258.39 -7.98 0.43
G0012227.JPG 41.5404304 -70.9416873 3.63 258.39 -7.98 0.43
G0012228.JPG 41.5404215 -70.9417436 3.55 258.86 -12.67 -0.31
G0012229.JPG 41.5404215 -70.9417436 3.55 258.86 -12.67 -0.31
G0012230.JPG 41.5404119 -70.9417998 3.61 258.69 -11.17 -0.52
G0012231.JPG 41.5404119 -70.9417998 3.61 258.69 -11.17 -0.52
G0012232.JPG 41.540401 -70.941857 3.56 257.56 -10.44 0.7
G0012233.JPG 41.540401 -70.941857 3.56 257.56 -10.44 0.7
G0012234.JPG 41.5403907 -70.9419151 3.66 258.62 -12.68 -1.18
G0012235.JPG 41.5403907 -70.9419151 3.66 258.62 -12.68 -1.18
G0012236.JPG 41.5403804 -70.9419716 3.83 229.91 -5.77 1.62
G0012237.JPG 41.5403804 -70.9419716 3.83 229.91 -5.77 1.62
G0012238.JPG 41.5403721 -70.9420192 3.76 204.32 -8.02 2.52
G0012239.JPG 41.5403721 -70.9420192 3.76 204.32 -8.02 2.52
G0012240.JPG 41.5403605 -70.9420568 3.6 208.58 0.29 -9.94
G0012241.JPG 41.5403605 -70.9420568 3.6 208.58 0.29 -9.94
G0012242.JPG 41.5403531 -70.9420695 3.57 215.61 -4.15 -7.01
G0012243.JPG 41.5403531 -70.9420695 3.57 215.61 -4.15 -7.01
G0012244.JPG 41.5403488 -70.9420648 3.46 206.87 -16.83 1.32
G0012245.JPG 41.5403488 -70.9420648 3.46 206.87 -16.83 1.32
G0012246.JPG 41.5403289 -70.9420551 3.62 145.74 -10.49 11.56
G0012247.JPG 41.5403289 -70.9420551 3.62 145.74 -10.49 11.56
G0012248.JPG 41.5403016 -70.9420371 3.49 81.94 -0.05 1
G0012249.JPG 41.5403016 -70.9420371 3.49 81.94 -0.05 1
G0012250.JPG 41.5402778 -70.9420104 3.59 80.22 5.84 -8.41
G0012251.JPG 41.5402778 -70.9420104 3.59 80.22 5.84 -8.41
G0012252.JPG 41.5402673 -70.941991 4.1 85.12 2.86 3.84
G0012253.JPG 41.5402673 -70.941991 4.1 85.12 2.86 3.84
G0012254.JPG 41.5402602 -70.9419685 4.75 84.52 -0.04 3.35
G0012255.JPG 41.5402602 -70.9419685 4.75 84.52 -0.04 3.35
G0012256.JPG 41.5402567 -70.941939 5.11 80.95 -1.6 3.19
G0012257.JPG 41.5402567 -70.941939 5.11 80.95 -1.6 3.19
G0012258.JPG 41.5402576 -70.9419026 5.23 77.72 -1.04 3.57
G0012259.JPG 41.5402576 -70.9419026 5.23 77.72 -1.04 3.57
G0012260.JPG 41.5402618 -70.9418604 5.07 77.3 0.27 1.81
G0012261.JPG 41.5402618 -70.9418604 5.07 77.3 0.27 1.81
G0012262.JPG 41.5402691 -70.9418132 4.91 76.28 2.88 1.86
G0012263.JPG 41.5402691 -70.9418132 4.91 76.28 2.88 1.86
G0012264.JPG 41.5402794 -70.9417649 4.86 76.78 -2.03 3.41
G0012265.JPG 41.5402794 -70.9417649 4.86 76.78 -2.03 3.41
G0012266.JPG 41.540291 -70.9417156 4.67 78.21 -3.22 1.39
G0012267.JPG 41.540291 -70.9417156 4.67 78.21 -3.22 1.39
G0012268.JPG 41.540304 -70.9416614 4.39 77.89 -0.87 3.26
G0012269.JPG 41.540304 -70.9416614 4.39 77.89 -0.87 3.26
G0012270.JPG 41.540318 -70.941605 4.19 83.92 -0.74 2.17
G0012271.JPG 41.540318 -70.941605 4.19 83.92 -0.74 2.17
G0012272.JPG 41.5403323 -70.9415501 4.21 84.96 -2.54 2.55
G0012273.JPG 41.5403323 -70.9415501 4.21 84.96 -2.54 2.55
G0012274.JPG 41.540346 -70.9414956 4.31 85.15 -3.48 3.27
G0012275.JPG 41.540346 -70.9414956 4.31 85.15 -3.48 3.27
G0012276.JPG 41.5403585 -70.9414403 4.32 86.4 -2.1 3.86
G0012277.JPG 41.5403585 -70.9414403 4.32 86.4 -2.1 3.86
G0012278.JPG 41.5403698 -70.9413862 4.23 85.44 -3.7 3.75
G0012279.JPG 41.5403698 -70.9413862 4.23 85.44 -3.7 3.75
G0012280.JPG 41.5403796 -70.9413317 3.99 85.79 -3.36 2.88
G0012281.JPG 41.5403796 -70.9413317 3.99 85.79 -3.36 2.88
G0012282.JPG 41.5403887 -70.9412783 3.78 86.49 -3.15 2.47
G0012283.JPG 41.5403887 -70.9412783 3.78 86.49 -3.15 2.47
G0012284.JPG 41.540397 -70.9412255 3.5 85.22 -3.13 2.47
G0012285.JPG 41.540397 -70.9412255 3.5 85.22 -3.13 2.47
G0012286.JPG 41.5404045 -70.9411729 3.45 84.29 -4.23 2.95
G0012287.JPG 41.5404045 -70.9411729 3.45 84.29 -4.23 2.95
G0012288.JPG 41.540412 -70.9411198 3.51 84.34 -3.44 2.29
G0012289.JPG 41.540412 -70.9411198 3.51 84.34 -3.44 2.29
G0012290.JPG 41.5404185 -70.9410664 3.53 86.67 -3.55 4.17
G0012291.JPG 41.5404185 -70.9410664 3.53 86.67 -3.55 4.17
G0012292.JPG 41.5404243 -70.9410146 3.4 87.99 -4.18 3.33
G0012293.JPG 41.5404243 -70.9410146 3.4 87.99 -4.18 3.33
G0012294.JPG 41.540429 -70.9409642 3.28 87.55 -5.57 3.53
G0012295.JPG 41.540429 -70.9409642 3.28 87.55 -5.57 3.53
G0012296.JPG 41.5404317 -70.9409135 3.33 87.45 -5.12 3.25
G0012297.JPG 41.5404317 -70.9409135 3.33 87.45 -5.12 3.25
G0012298.JPG 41.5404327 -70.9408624 3.37 86.82 -5.41 2.26
G0012299.JPG 41.5404327 -70.9408624 3.37 86.82 -5.41 2.26
G0012300.JPG 41.5404337 -70.940809 3.38 86.59 -6.76 1.45
G0012301.JPG 41.5404337 -70.940809 3.38 86.59 -6.76 1.45
G0012302.JPG 41.5404357 -70.9407526 3.52 87.02 -6.51 3
G0012303.JPG 41.5404357 -70.9407526 3.52 87.02 -6.51 3
G0012304.JPG 41.5404377 -70.9406956 3.7 86.63 -4.5 2.35
G0012305.JPG 41.5404377 -70.9406956 3.7 86.63 -4.5 2.35
G0012306.JPG 41.5404396 -70.9406419 3.64 88.65 -6.18 -0.66
G0012307.JPG 41.5404396 -70.9406419 3.64 88.65 -6.18 -0.66
G0012308.JPG 41.540444 -70.9405881 3.51 86.03 -9.86 1.75
G0012309.JPG 41.540444 -70.9405881 3.51 86.03 -9.86 1.75
G0012310.JPG 41.5404466 -70.9405282 3.56 86.42 -3.69 2.99
G0012311.JPG 41.5404466 -70.9405282 3.56 86.42 -3.69 2.99
G0012312.JPG 41.5404488 -70.9404695 3.64 87.41 -4.9 1.55
G0012313.JPG 41.5404488 -70.9404695 3.64 87.41 -4.9 1.55
G0012314.JPG 41.5404538 -70.9404151 3.61 87.55 -4.71 2.26
G0012315.JPG 41.5404538 -70.9404151 3.61 87.55 -4.71 2.26
G0012316.JPG 41.5404587 -70.940364 3.58 85.73 -9.38 2.11
G0012317.JPG 41.5404587 -70.940364 3.58 85.73 -9.38 2.11
G0012318.JPG 41.5404607 -70.9403091 3.67 85.49 -6.47 1.73
G0012319.JPG 41.5404607 -70.9403091 3.67 85.49 -6.47 1.73
G0012320.JPG 41.5404616 -70.9402524 3.77 86.88 -5.38 1.32
G0012321.JPG 41.5404616 -70.9402524 3.77 86.88 -5.38 1.32
G0012322.JPG 41.5404632 -70.9401963 3.82 86.48 -5.1 1.33
G0012323.JPG 41.5404652 -70.9401422 3.8 86.4 -8.81 1.16
G0012324.JPG 41.5404652 -70.9401422 3.8 86.4 -8.81 1.16
G0012325.JPG 41.5404652 -70.9401422 3.8 86.4 -8.81 1.16
G0012326.JPG 41.5404671 -70.9400848 3.77 86.7 -6.37 3.14
G0012327.JPG 41.5404671 -70.9400848 3.77 86.7 -6.37 3.14
G0012328.JPG 41.5404674 -70.9400271 3.86 87.24 -5.71 1.08
G0012329.JPG 41.5404674 -70.9400271 3.86 87.24 -5.71 1.08
G0012330.JPG 41.5404685 -70.9399713 3.85 90.18 -7.25 1.17
G0012331.JPG 41.5404685 -70.9399713 3.85 90.18 -7.25 1.17
G0012332.JPG 41.5404704 -70.9399143 3.79 89.56 -7.78 1.45
G0012333.JPG 41.5404704 -70.9399143 3.79 89.56 -7.78 1.45
G0012334.JPG 41.5404719 -70.9398559 3.72 89.53 -5.75 1.38
G0012335.JPG 41.5404719 -70.9398559 3.72 89.53 -5.75 1.38
G0012336.JPG 41.5404737 -70.9397969 3.65 89.37 -6.27 1.34
G0012337.JPG 41.5404737 -70.9397969 3.65 89.37 -6.27 1.34
G0012338.JPG 41.5404762 -70.9397369 3.6 88.62 -7.08 1.59
G0012339.JPG 41.5404762 -70.9397369 3.6 88.62 -7.08 1.59
G0012340.JPG 41.5404791 -70.9396756 3.68 89.1 -6.18 1.38
G0012341.JPG 41.5404791 -70.9396756 3.68 89.1 -6.18 1.38
G0012342.JPG 41.540483 -70.9396156 3.62 89.38 -6.28 1.41
G0012343.JPG 41.540487 -70.9395571 3.49 88.61 -6.49 1.67
G0012344.JPG 41.540487 -70.9395571 3.49 88.61 -6.49 1.67
G0012345.JPG 41.540487 -70.9395571 3.49 88.61 -6.49 1.67
G0012346.JPG 41.5404906 -70.9394996 3.43 89.37 -8.09 1.31
G0012347.JPG 41.5404906 -70.9394996 3.43 89.37 -8.09 1.31
G0012348.JPG 41.540493 -70.9394413 3.36 88.81 -8.95 1.99
G0012349.JPG 41.540493 -70.9394413 3.36 88.81 -8.95 1.99
G0012350.JPG 41.5404935 -70.9393805 3.54 89.54 -7.16 1.93
G0012351.JPG 41.5404935 -70.9393805 3.54 89.54 -7.16 1.93
G0012352.JPG 41.5404925 -70.9393198 3.58 89.35 -5.33 1.26
G0012353.JPG 41.5404925 -70.9393198 3.58 89.35 -5.33 1.26
G0012354.JPG 41.5404915 -70.9392616 3.53 88.74 -7.82 0.81
G0012355.JPG 41.5404915 -70.9392616 3.53 88.74 -7.82 0.81
G0012356.JPG 41.5404901 -70.939202 3.58 89.93 -7.59 1.23
